player,matches,ace,dfs,svpt,svgms,last,ace_pct,df_pct,ace_pct_raw,ace_hard,n_hard,ace_clay,n_clay,ace_grass,n_grass,ret_matches,ace_conc,svpt_faced,conceded_pct,ret_mult
Marko Topo,6.0,12.0,22.0,451.0,65.0,20251013.0,0.05116600006302751,0.04262265231038535,0.026607538802660754,0.07499440994663399,100.0,0.04110711550672547,351.0,,,6,16.0,380.0,0.06095162314568771,0.7729517345651935
Marsel Ilhan,1.0,1.0,1.0,55.0,10.0,20210105.0,0.07152146385414596,0.03356456509041304,0.01818181818181818,0.0802136373039934,55.0,,,,,1,0.0,52.0,0.06978377445494781,0.8849557522123894
Martin Antonio Vergara Del Puerto,2.0,3.0,8.0,120.0,19.0,20240203.0,0.06642743471853156,0.04283053291564988,0.025,,,0.045906622587597735,120.0,,,2,3.0,124.0,0.06592035506419162,0.8359621969087014
Martin Cuevas,3.0,10.0,14.0,240.0,28.0,20210918.0,0.0649097907088069,0.044174807993965524,0.041666666666666664,0.080105349858779,143.0,0.04601900150010226,97.0,,,3,6.0,168.0,0.06609553882682466,0.8381837717611251
Martin Damm,5.0,93.0,17.0,426.0,69.0,20250824.0,0.15077756180827653,0.03785941539484012,0.21830985915492956,0.15556562345437894,426.0,,,,,15,122.0,1036.0,0.10692358360281087,1.3559404187510362
Martin Klizan,32.0,129.0,132.0,2735.0,412.0,20250331.0,0.05120965424358418,0.04665769604980477,0.04716636197440585,0.06682306985978087,1074.0,0.04022285317435476,1536.0,0.09009831612415305,125.0,32,248.0,2591.0,0.09346113876751468,1.185217810395583
Martin Landaluce,15.0,74.0,72.0,1136.0,169.0,20251222.0,0.0687124127953362,0.0561665866641523,0.06514084507042253,0.07377556858394455,664.0,0.05948560062563168,472.0,,,22,169.0,1665.0,0.0971148988153203,1.231552592323965
Martins Rocens,1.0,4.0,10.0,41.0,7.0,20240202.0,0.0805947076046177,0.05503827010462117,0.0975609756097561,0.08956282306874602,41.0,,,,,1,2.0,34.0,0.0772863273125263,0.9800986039633789
Marton Fucsovics,280.0,1203.0,950.0,23349.0,3586.0,20260813.0,0.051982915746079265,0.04060263072618375,0.051522549145573686,0.05407204001227458,13720.0,0.03642654524227688,5938.0,0.07413874748598884,3691.0,268,1079.0,22770.0,0.04793017980378232,0.6078216412515055
Matavao Fanguna,1.0,2.0,5.0,58.0,7.0,20240202.0,0.07323638876339827,0.042078334314711655,0.034482758620689655,0.08187162657929475,58.0,,,,,1,1.0,40.0,0.07395969557644638,0.9379122660455754
