player,opp,surface,indoor,tourney_date,best_of,ace,df,svpt,svgms,tourney_name,round,score,won,sv_1in,sv_1won,sv_2won,bp_saved,bp_faced,rank,opp_rank
Tomas Berdych,Pierre-Hugues Herbert,Hard,O,20181231,3,6.0,0.0,48.0,9.0,Doha,QF,6-2 6-4,1,32.0,29.0,8.0,2.0,2.0,71.0,55.0
Marco Cecchinato,Dusan Lajovic,Hard,O,20181231,3,4.0,0.0,59.0,10.0,Doha,QF,7-6(2) 6-2,1,47.0,36.0,9.0,2.0,2.0,20.0,48.0
Roberto Bautista Agut,Stan Wawrinka,Hard,O,20181231,3,2.0,1.0,70.0,10.0,Doha,QF,6-4 6-4,1,53.0,39.0,8.0,3.0,3.0,24.0,66.0
Novak Djokovic,Nikoloz Basilashvili,Hard,O,20181231,3,7.0,3.0,86.0,15.0,Doha,QF,4-6 6-3 6-4,1,57.0,41.0,15.0,3.0,6.0,1.0,21.0
Tomas Berdych,Marco Cecchinato,Hard,O,20181231,3,12.0,0.0,64.0,11.0,Doha,SF,7-6(6) 6-3,1,41.0,31.0,18.0,2.0,3.0,71.0,20.0
Roberto Bautista Agut,Novak Djokovic,Hard,O,20181231,3,7.0,0.0,88.0,15.0,Doha,SF,3-6 7-6(6) 6-4,1,66.0,52.0,11.0,2.0,4.0,24.0,1.0
Roberto Bautista Agut,Tomas Berdych,Hard,O,20181231,3,5.0,0.0,85.0,14.0,Doha,F,6-4 3-6 6-3,1,60.0,43.0,16.0,5.0,6.0,24.0,71.0
Ernests Gulbis,Pedro Sousa,Hard,O,20181231,3,14.0,6.0,102.0,15.0,Pune,R32,6-4 4-6 6-4,1,61.0,45.0,23.0,7.0,9.0,95.0,104.0
Ivo Karlovic,Felix Auger-Aliassime,Hard,O,20181231,3,13.0,1.0,55.0,11.0,Pune,R32,6-4 7-5,1,34.0,29.0,15.0,0.0,0.0,100.0,108.0
Evgeny Donskoy,Pablo Andujar,Hard,O,20181231,3,7.0,0.0,109.0,16.0,Pune,R32,6-3 5-7 7-6(6),1,69.0,49.0,19.0,5.0,8.0,97.0,82.0
Ramkumar Ramanathan,Marcel Granollers,Hard,O,20181231,3,9.0,6.0,90.0,15.0,Pune,R32,4-6 6-4 6-3,1,64.0,49.0,13.0,1.0,3.0,132.0,96.0
